Name,Phone,Email,Address,Latitude,Longitude,Helps
"Adams, Brown and Gates",(822)8661528x21266,diaznicole@example.com,"93772 David Street Suite 001, Gainesville, FL",29.639991,-82.39443,"Clothing,Rescue,Sandbags,School,Life Skills,Food Packs"
Coleman-Smith,6855555408x60298,zwilliams@example.com,"137 Clayton Lodge Apt. 537, Gainesville, FL",29.668809,-82.3182,"Housing,Lost & Found,Recovery,Training,Follow-up"
Gutierrez-Hardin,819.546.1742x08534,russell03@example.net,"210 Stevens Orchard Apt. 499, Gainesville, FL",29.668668,-82.372413,"Alerts,Mental Health,Vaccination,Food Packs,Babysitting"
Lee-Luna,+16038963074,williamsmark@example.org,"65759 Ramsey Throughway Apt. 510, Gainesville, FL",29.657039,-82.317427,"Medical,Financial Aid,Emergency Kits"
Goodman-Diaz,(395)4461849x5307,tthomas@example.com,"713 Mary Point, Gainesville, FL",29.655254,-82.364677,"Training,Financial Aid,Resource Sharing,Life Skills,Health Kits"
"Johnson, Morales and Jimenez",372.492.2457x3328,rodneywright@example.org,"057 Charles Ridge, Gainesville, FL",29.669629,-82.302462,"Remapping,Temporary Schools,Childcare,Language Help,Hazard Map,Awareness,Equipment"
Cantrell-Daniels,5534470348x6277,williamskelly@example.net,"9714 Anthony Meadows Suite 633, Gainesville, FL",29.646889,-82.333666,"Trauma Support,Drills,Sandbags,Clean-up,Communication,Power Supply"
Baxter-Charles,+19203740901x45426,bryanmorris@example.com,"6653 Oconnell Stream, Gainesville, FL",29.670642,-82.333681,"Blood Donation,School,Coordination,Housing,Drills"
Washington LLC,0016489048002x27650,avilakristy@example.net,"22435 Grimes Ridge Apt. 807, Gainesville, FL",29.654798,-82.350404,"Assessment,Toolkits,Construction,Documentation,Transport"
"Lee, Watkins and Pierce",0013207057888,castrojonathon@example.com,"952 Joseph Greens Suite 925, Gainesville, FL",29.666613,-82.331937,"Lost & Found,Evacuation,Financial Aid,Assessment"
"Singleton, Grant and Page",496.798.7827x4094,vfrancis@example.com,"1383 Shannon Lane Apt. 914, Gainesville, FL",29.655721,-82.345098,"Psych Support,Lost & Found,Vaccination,Food Packs"
Murray Ltd,0017505715109,holmesamanda@example.net,"9502 Davis Divide, Gainesville, FL",29.642802,-82.378898,"Temporary Schools,Sandbags,Helpline,Insurance,Shelter"
"Turner, Reyes and Williams",+16406391596x79122,john33@example.com,"8018 Eric Hill, Gainesville, FL",29.629375,-82.379466,"Information,Resource Sharing,Debris Removal,Relocation"
Hall and Sons,(360)7530861,qnorris@example.org,"8475 Michael Light, Gainesville, FL",29.665238,-82.35325,"Hazard Map,Debris Removal,Training,Alerts,Shelter,Drills"
"Crawford, Gibson and Quinn",(849)4302794,sheltonkristina@example.com,"69734 Jones Loop, Gainesville, FL",29.670408,-82.38675,"Water,Shelter,Collection"
Huffman PLC,687.744.5814x07988,stanleyrobert@example.com,"6254 Carlos Roads Apt. 336, Gainesville, FL",29.649467,-82.379713,"Transport,Sanitation,Legal,Documentation,Vaccination,Relocation,Trauma Support"
Stewart-Williams,5203025286x4323,thorntonbrooke@example.org,"102 Natalie Crescent Suite 954, Gainesville, FL",29.634638,-82.323773,"Relief,Sanitation,Food Packs"
Hawkins LLC,(461)6038465,alan75@example.net,"1326 Hanson View, Gainesville, FL",29.630582,-82.376839,"Clothing,Medical,Debris Removal,Resource Sharing,Financial"
Owens-Pittman,328.981.9333x485,robert99@example.org,"48528 Sheppard Lakes Suite 535, Gainesville, FL",29.640453,-82.395388,"Support,Supplies,Relocation,Insurance,Mental Health"
Allen LLC,0015423291712x66955,annettestevens@example.org,"5227 Andrade Center, Gainesville, FL",29.658263,-82.336173,"Childcare,Needs Assessment,Debris Removal,Power Supply"
Keller and Sons,4216586984,tbarrera@example.net,"9349 Lynn Lane, Gainesville, FL",29.633801,-82.322589,"Crowd Control,Translation,Equipment,Blood Donation,Financial Aid"
Brock-Patel,(456)4929131,ortizmichael@example.org,"634 Hopkins Hills, Gainesville, FL",29.621224,-82.328682,"Rescue,Food,Housing,Helpline,Food Packs,School,Follow-up"
